epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,342.71,0.71613,0.47314,0.96595,0.82903,0.81425,0.89577,0.71994,0.83217,0.70179,0.97686,0.0007294,0.0007294,0.0007294
43,350.366,0.72085,0.4739,0.96998,0.82896,0.81721,0.87837,0.71257,0.81212,0.66785,0.9678,0.0007228,0.0007228,0.0007228
44,358.083,0.70393,0.46789,0.96513,0.76206,0.86143,0.87111,0.70857,0.81916,0.67416,0.9745,0.0007162,0.0007162,0.0007162
45,365.61,0.70296,0.46269,0.96457,0.82469,0.87951,0.9062,0.73462,0.82469,0.60652,0.96979,0.0007096,0.0007096,0.0007096
46,373.258,0.70156,0.46467,0.96329,0.79924,0.82904,0.86319,0.69386,0.82566,0.71055,0.98272,0.000703,0.000703,0.000703
47,380.998,0.6999,0.46232,0.9645,0.83666,0.84133,0.89639,0.72996,0.82498,0.61605,0.97544,0.0006964,0.0006964,0.0006964
48,388.523,0.69701,0.45467,0.96107,0.79964,0.80778,0.84196,0.67495,0.83181,0.70693,0.96878,0.0006898,0.0006898,0.0006898
49,396.053,0.70266,0.4554,0.96297,0.8223,0.83158,0.87302,0.70854,0.82015,0.64554,0.96761,0.0006832,0.0006832,0.0006832
50,403.442,0.69433,0.44896,0.95815,0.7785,0.83306,0.83277,0.66905,0.83238,0.71251,0.9746,0.0006766,0.0006766,0.0006766
51,410.941,0.70568,0.46783,0.95933,0.82365,0.81424,0.87654,0.71293,0.82105,0.68464,0.97018,0.00067,0.00067,0.00067
52,418.481,0.6907,0.44876,0.95619,0.80293,0.84213,0.85914,0.69383,0.81753,0.66641,0.97095,0.0006634,0.0006634,0.0006634
53,426.055,0.68238,0.44408,0.95702,0.82529,0.83668,0.86989,0.70895,0.83068,0.66745,0.97156,0.0006568,0.0006568,0.0006568
54,433.683,0.67989,0.44197,0.95378,0.79474,0.84881,0.87537,0.70926,0.82082,0.66166,0.96956,0.0006502,0.0006502,0.0006502
55,441.296,0.67334,0.43779,0.9521,0.85802,0.85488,0.89516,0.72629,0.82487,0.61586,0.97308,0.0006436,0.0006436,0.0006436
56,448.743,0.67769,0.43379,0.95313,0.81251,0.85218,0.88397,0.71636,0.83568,0.64305,0.97362,0.000637,0.000637,0.000637
57,456.204,0.66789,0.41946,0.95046,0.85755,0.87024,0.89327,0.72623,0.81575,0.59481,0.96774,0.0006304,0.0006304,0.0006304
58,463.864,0.67625,0.42824,0.95408,0.84303,0.83152,0.88696,0.71784,0.84058,0.62809,0.97901,0.0006238,0.0006238,0.0006238
59,471.383,0.669,0.42411,0.95164,0.82573,0.85234,0.89387,0.72678,0.8369,0.62853,0.97735,0.0006172,0.0006172,0.0006172
60,479.139,0.65065,0.41759,0.94436,0.85144,0.83288,0.88528,0.71819,0.83555,0.63974,0.97852,0.0006106,0.0006106,0.0006106
61,486.627,0.66802,0.42437,0.94593,0.84695,0.85596,0.88127,0.71434,0.83973,0.61725,0.97398,0.000604,0.000604,0.000604
62,494.267,0.65923,0.41061,0.94768,0.83175,0.88079,0.90046,0.73264,0.83743,0.59736,0.97383,0.0005974,0.0005974,0.0005974
63,501.842,0.65565,0.41238,0.94649,0.84179,0.85635,0.90604,0.74122,0.82908,0.58576,0.98306,0.0005908,0.0005908,0.0005908
64,509.54,0.65104,0.40787,0.94092,0.85708,0.85909,0.8944,0.7313,0.81711,0.59619,0.96832,0.0005842,0.0005842,0.0005842
65,517.055,0.64818,0.40347,0.94171,0.84964,0.85259,0.87859,0.71091,0.81144,0.63499,0.97283,0.0005776,0.0005776,0.0005776
66,524.523,0.64315,0.40345,0.94274,0.84095,0.84606,0.88762,0.7258,0.81917,0.60932,0.97005,0.000571,0.000571,0.000571
67,531.98,0.65117,0.40635,0.94275,0.85469,0.84506,0.8782,0.71285,0.83212,0.61653,0.97591,0.0005644,0.0005644,0.0005644
68,539.64,0.64975,0.40686,0.9424,0.86288,0.85383,0.87224,0.70752,0.83806,0.6316,0.97692,0.0005578,0.0005578,0.0005578
